year,month,entries/exits commodities,Humanitarian (%),Commercial (%),,month,type of commodities,percent
2023,01/2023,10799,3,97,,01/2023,Humanitarian,3
2023,02/2023,9187,1,99,,02/2023,Humanitarian,1
2023,03/2023,10213,3,97,,03/2023,Humanitarian,3
2023,04/2023,6515,5,95,,04/2023,Humanitarian,5
2023,05/2023,10333,2,98,,05/2023,Humanitarian,2
2023,06/2023,9648,3,97,,06/2023,Humanitarian,3
2023,07/2023,10199,4,96,,07/2023,Humanitarian,4
2023,08/2023,12076,3,97,,08/2023,Humanitarian,3
2023,09/2023,8734,2,98,,09/2023,Humanitarian,2
2023,10/2023,2542,9,91,,10/2023,Humanitarian,9
2023,11/2023,2540,98,2,,11/2023,Humanitarian,98
2023,12/2023,3263,91,9,,12/2023,Humanitarian,91
2024,01/2024,4378,92,8,,01/2024,Humanitarian,92
2024,02/2024,2874,91,9,,02/2024,Humanitarian,91
2024,03/2024,4993,85,15,,03/2024,Humanitarian,85
,,,,,,01/2023,Commercial,97
,,,,,,02/2023,Commercial,99
,,,,,,03/2023,Commercial,97
,,,,,,04/2023,Commercial,95
,,,,,,05/2023,Commercial,98
,,,,,,06/2023,Commercial,97
,,,,,,07/2023,Commercial,96
,,,,,,08/2023,Commercial,97
,,,,,,09/2023,Commercial,98
,,,,,,10/2023,Commercial,91
,,,,,,11/2023,Commercial,2
,,,,,,12/2023,Commercial,9
,,,,,,01/2024,Commercial,8
,,,,,,02/2024,Commercial,9
,,,,,,03/2024,Commercial,15
